title,funder,project_reference,start,end,award_in_pounds,lead_org,lead_org_dept,lead_org_address,lead_org_postcode,lead_org_region,grant_holder_firstname,grant_holder_othernames,grant_holder_surname,gtr_url
EPSRC Centre for Doctoral Training in Condensed Matter Physics: Renewal of the CM-DTC,EPSRC,EP/L015110/1,2014-08-01,2023-01-31,3992130,University of St Andrews,Physics and Astronomy,"College Gate, St. Andrews, Fife, KY16 9AJ, Scotland, United Kingdom",KY16 9AJ,Scotland,Christopher,Andrew,Hooley,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015110%2F1
Centre for Doctoral Training in Healthcare Innovation,EPSRC,EP/G036861/1,2009-10-01,2018-03-31,7174440,University of Oxford,Engineering Science,"University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,Alison,,Noble,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FG036861%2F1
MASDOC: A Centre for Doctoral Training in the Mathematical Sciences,EPSRC,EP/H023364/1,2010-10-01,2017-09-30,4248510,University of Warwick,Mathematics,"Warwickshire, Coventry, West Midlands, CV4 7AL, West Midlands, United Kingdom",CV4 7AL,West Midlands,Charlie,,Elliott,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FH023364%2F1
EPSRC Centre for Doctoral Training in Sustainable Chemical Technologies,EPSRC,EP/L016354/1,2014-10-01,2023-03-31,4564930,University of Bath,Chemistry,"University of Bath, Claverton Down, Bath, Avon, BA2 7AY, South West, United Kingdom",BA2 7AY,South West,Matthew,Gwilym,Davidson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016354%2F1
EPSRC Centre for Doctoral Training in Controlled Quantum Dynamics,EPSRC,EP/L016524/1,2014-04-01,2022-09-30,4161030,Imperial College London,Dept of Physics,"South Kensington Campus, Exhibition Road, London, SW7 2AZ, London, United Kingdom",SW7 2AZ,London,Myungshik,,Kim,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016524%2F1
EPSRC Centre for Doctoral Training in Molecular Analytical Science,EPSRC,EP/L015307/1,2014-09-22,2023-03-21,4112090,University of Warwick,Chemistry,"Warwickshire, Coventry, West Midlands, CV4 7AL, West Midlands, United Kingdom",CV4 7AL,West Midlands,Patrick,,Unwin,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015307%2F1
"EPSRC Centre for Doctoral Training in Science and Engineering in Arts, Heritage and Archaeology",EPSRC,EP/L016036/1,2014-04-01,2022-09-30,4715730,University College London,"Bartlett Sch of Env, Energy & Resources","Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,May,,Cassar,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016036%2F1
EPSRC Centre for Doctoral Training in Renewable Energy Marine Structures (REMS),EPSRC,EP/L016303/1,2014-05-01,2022-10-31,3984290,Cranfield University,"Sch of Aerospace, Transport & Manufact","Cranfield, Bedford, Bedfordshire, MK43 0AL, East of England, United Kingdom",MK43 0AL,East of England,Feargal,Peter,Brennan,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016303%2F1
EPSRC Centre for Doctoral Training in the Science and Applications of Graphene and Related Nanomaterials (GrapheneNOWNANO),EPSRC,EP/L01548X/1,2014-04-01,2022-09-30,4475730,University of Manchester,Physics and Astronomy,"Oxford Road, Manchester, M13 9PL, North West, United Kingdom",M13 9PL,North West,Irina,,Grigorieva,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL01548X%2F1
EPSRC and MRC Centre for Doctoral Training in Mathematics for Real-World Systems,EPSRC,EP/L015374/1,2014-04-01,2022-09-30,3692570,University of Warwick,Mathematics,"Warwickshire, Coventry, West Midlands, CV4 7AL, West Midlands, United Kingdom",CV4 7AL,West Midlands,Robert,Sinclair,MacKay,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015374%2F1
