title,funder,type,start,end,award_in_pounds,lead_org,lead_org_dept,lead_org_address,lead_org_postcode,lead_org_region,grant_holder_firstname,grant_holder_othernames,grant_holder_surname,gtr_project_reference,gtr_url
"Doctoral Training Partnership(DTP) in Structural Metallic Systems for Gas Turbine Applications-universities of Cambridge,Swansea and Birmingham.",EPSRC,DTP,2009-10-01,2020-03-31,9469810,University of Birmingham,Metallurgy and Materials,"Edgbaston Park Road, Edgbaston, B15 2TT, West Midlands, United Kingdom",B15 2TT,West Midlands,Paul,,Bowen,EP/H022309/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FH022309%2F1
Cambridge Doctoral Training Partnership - 2,BBSRC,DTP,2015-10-01,2023-09-30,14815200,University of Cambridge,Plant Sciences,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,Alison,Gail,Smith,BB/M011194/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM011194%2F1
Nottingham-Rothamsted Doctoral Training Partnership,BBSRC,DTP,2015-10-01,2023-09-30,12346000,University of Nottingham,Sch of Biosciences,"University Park, Nottingham, Nottinghamshire, NG7 2RD, East Midlands, United Kingdom",NG7 2RD,East Midlands,Jeremy,,Roberts,BB/M008770/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM008770%2F1
Environment East (EnvEast) Doctoral Training Partnership,NERC,DTP,2014-09-01,2020-10-31,3518630,University of East Anglia,Environmental Sciences,"Earlham Road, Norwich, Norfolk, NR4 7TJ, East of England, United Kingdom",NR4 7TJ,East of England,William,Thomas,Sturges,NE/L002582/1,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FL002582%2F1
The Oxford Interdisciplinary Bioscience Doctoral Training Partnership,BBSRC,DTP,2015-10-01,2023-09-30,12346000,University of Oxford,"Mathematical, Physical&Life Sciences Div","University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,Mark,,Sansom,BB/M011224/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM011224%2F1
East of Scotland Bioscience Doctoral Training Partnership,BBSRC,DTP,2015-10-01,2023-09-30,7407580,University of Edinburgh,Sch of Biological Sciences,"Old College, South Bridge, Mayfield Road, Edinburgh, EH8 9YL, Scotland, United Kingdom",EH8 9YL,Scotland,Irina,,Stancheva,BB/M010996/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM010996%2F1
The Norwich Research Park Biosciences Doctoral Training Partnership,BBSRC,DTP,2015-10-01,2023-09-30,12346000,John Innes Centre,Molecular Microbiology,"Norwich Research Park, Colney, Norwich, Norwich, NR4 7UH, East of England, United Kingdom",NR4 7UH,East of England,Trevor,Leon,Wang,BB/M011216/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM011216%2F1
DTP - University of Exeter,EPSRC,DTP,2015-10-01,2019-09-30,980980,University of Exeter,Research Grant Administration,"University of Exeter, Clydesdale House, Clydesdale Road, Exeter, EX4 4QX, South West, United Kingdom",EX4 4QX,South West,Paula,Tracey,Frost,EP/M508044/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM508044%2F1
STFC Glasgow 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,1462130,University of Glasgow,School of Physics and Astronomy,"University Avenue, Glasgow, G12 8QQ, Scotland, United Kingdom",G12 8QQ,Scotland,Martin,,Hendry,ST/N504075/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504075%2F1
STFC Keele 2015 DTP,STFC,DTP,2015-10-01,2020-09-30,216765,Keele University,Faculty of Natural Sciences,"Keele, Newcastle, Staffordshire, ST5 5BG, West Midlands, United Kingdom",ST5 5BG,West Midlands,Coel,,Hellier,ST/N504348/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FN504348%2F1
